awardYear,category,name
1980,Literature,Czeslaw Milosz
1976,Physiology or Medicine,D. Carleton Gajdusek
1961,Peace,520
2010,Economic Sciences,Dale T. Mortensen
2011,Chemistry,Dan Shechtman
1957,Physiology or Medicine,363
1998,Physics,Daniel C. Tsui
2002,Economic Sciences,759
2000,Economic Sciences,Daniel L. McFadden
1978,Physiology or Medicine,Daniel Nathans
1997,Literature,Dario Fo
1975,Physiology or Medicine,David Baltimore
1981,Physiology or Medicine,David H. Hubel
2004,Physics,David J. Gross
2016,Physics,David J. Thouless
2012,Physics,David J. Wineland
1996,Physics,David M. Lee
1998,Peace,David Trimble
2018,Peace,Denis Mukwege
1971,Physics,Dennis Gabor
1969,Chemistry,Derek Barton
1992,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1992
1984,Peace,Desmond Tutu
1956,Physiology or Medicine,Dickinson W. Richards
2019,Physics,Didier Queloz
1960,Physics,Donald A. Glaser
1987,Chemistry,Donald J. Cram
2018,Physics,962
2007,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2007
1964,Chemistry,Dorothy Crowfoot Hodgkin
1996,Physics,Douglas D. Osheroff
1993,Economic Sciences,Douglass C. North
1986,Chemistry,Dudley R. Herschbach
1990,Physiology or Medicine,E. Donnall Thomas
1952,Physics,E. M. Purcell
1971,Physiology or Medicine,"Earl W. Sutherland
1932,Physiology or Medicine,Edgar Adrian
1992,Physiology or Medicine,Edmond H. Fischer
2006,Economic Sciences,Edmund S. Phelps
1907,Chemistry,Eduard Buchner
2014,Physiology or Medicine,Edvard I. Moser
1943,Physiology or Medicine,Edward A. Doisy
1995,Physiology or Medicine,Edward B. Lewis
1950,Physiology or Medicine,349
2004,Economic Sciences,Edward C. Prescott
1958,Physiology or Medicine,Edward Tatum
1947,Physics,Edward V. Appleton
1992,Physiology or Medicine,Edwin G. Krebs
1951,Chemistry,Edwin M. McMillan
1949,Physiology or Medicine,Egas Moniz
2010,Chemistry,Ei-ichi Negishi
1974,Peace,Eisaku Sato
2004,Literature,Elfriede Jelinek
1981,Literature,658
1990,Chemistry,Elias James Corey
1902,Peace,Élie Ducommun
1986,Peace,548
1912,Peace,Elihu Root
2009,Economic Sciences,846
2009,Physiology or Medicine,Elizabeth H. Blackburn
2011,Peace,Ellen Johnson Sirleaf
1902,Chemistry,Emil Fischer
1901,Physiology or Medicine,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1901
1959,Physics,Emilio Segrè
1946,Peace,Emily Greene Balch
1938,Physics,46
2014,Chemistry,Eric Betzig
2001,Physics,738
1995,Physiology or Medicine,Eric F. Wieschaus
2000,Physiology or Medicine,Eric Kandel
2007,Economic Sciences,Eric S. Maskin
1931,Literature,Erik Axel Karlfeldt
1954,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1954
1939,Physics,47
1908,Chemistry,167
1951,Physics,Ernest T.S. Walton
1907,Peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1907
1945,Physiology or Medicine,Ernst B. Chain
1973,Chemistry,
1986,Physics,127
1991,Physiology or Medicine,Erwin Neher
1933,Physics,Erwin Schrödinger
2019,Economic Sciences,Esther Duflo
2013,Economic Sciences,Eugene F. Fama
1936,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1936
1963,Physics,78
1975,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1975
2012,Peace,881
1974,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1974
2016,Physics,F. Duncan M. Haldane
1995,Chemistry,283
1993,Peace,556
1952,Physics,Felix Bloch
1964,Physiology or Medicine,Feodor Lynen
1909,Physics,Ferdinand Braun
1927,Peace,Ferdinand Buisson
1998,Physiology or Medicine,Ferid Murad
2004,Economic Sciences,Finn E. Kydland
2018,Chemistry,Frances H. Arnold
1962,Physiology or Medicine,Francis Crick
1922,Chemistry, and for his enunciation of the whole-number rule"
1985,Economic Sciences,Franco Modigliani
2013,Physics,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2013
1965,Physiology or Medicine,François Jacob
1952,Literature,François Mauriac
2008,Physiology or Medicine,Françoise Barré-Sinoussi
1929,Peace,Frank B. Kellogg
2004,Physics,Frank Wilczek
1939,Literature,Frans Eemil Sillanpää
1935,Chemistry,Frédéric Joliot
1904,Literature, his significant work as a Proven&ccedil;al philologist"
1901,Peace,463
1954,Physiology or Medicine,Frederick C. Robbins
1923,Physiology or Medicine,Frederick G. Banting
1995,Physics,Frederick Reines
1958,Chemistry,222
1921,Chemistry,179
1908,Peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1908
1922,Peace,487
1931,Chemistry,Friedrich Bergius
1974,Economic Sciences,685
1947,Peace,508
1953,Physics,60
1918,Chemistry,Fritz Haber
1953,Physiology or Medicine,Fritz Lipmann
1923,Chemistry,Fritz Pregl
1982,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1982
1908,Physics,Gabriel Lippmann
1945,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1945
2000,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2000
1992,Economic Sciences,708
1973,Chemistry,
1961,Physiology or Medicine,Georg von Békésy
1979,Chemistry,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1979
2001,Economic Sciences,George A. Akerlof
1994,Chemistry,George A. Olah
1958,Physiology or Medicine,George Beadle
1925,Literature,596
1953,Peace,George C. Marshall
1980,Physiology or Medicine,George D. Snell
1943,Chemistry,George de Hevesy
1974,Physiology or Medicine,George E. Palade
2009,Physics,George E. Smith
2006,Physics,George F. Smoot
1988,Physiology or Medicine,George H. Hitchings
1934,Physiology or Medicine,George H. Whipple
1982,Economic Sciences,696
2018,Chemistry,George P. Smith
1937,Physics,George Paget Thomson
1967,Chemistry,235
1934,Physiology or Medicine,George R. Minot
1967,Physiology or Medicine,George Wald
1992,Physics,142
1984,Physiology or Medicine,Georges J.F. Köhler
1958,Peace,Georges Pire
1972,Physiology or Medicine,Gerald M. Edelman
1983,Economic Sciences,Gerard Debreu
2018,Physics,961
1999,Physics,Gerardus 't Hooft
1986,Physics,Gerd Binnig
1939,Physiology or Medicine,Gerhard Domagk
2007,Chemistry,Gerhard Ertl
1971,Chemistry,240
1912,Literature,582
1988,Physiology or Medicine,Gertrude B. Elion
1947,Physiology or Medicine,Gerty Cori
1963,Literature,635
1906,Literature,
1963,Chemistry,Giulio Natta
1951,Chemistry,Glenn T. Seaborg
1979,Physiology or Medicine,Godfrey N. Hounsfield
2006,Peace,Grameen Bank
1926,Literature,Grazia Deledda
2019,Physiology or Medicine,Gregg L. Semenza
1909,Physics,Guglielmo Marconi
1974,Economic Sciences,684
1999,Physiology or Medicine,Günter Blobel
1999,Literature,Günter Grass
1912,Physics,Gustaf Dalén
1925,Physics,Gustav Hertz
1926,Peace,Gustav Stresemann
2004,Physics,H. David Politzer
1968,Physiology or Medicine,H. Gobind Khorana
2002,Physiology or Medicine,H. Robert Horvitz
1955,Literature,Halldór Laxness
1978,Physiology or Medicine,Hamilton O. Smith
1970,Physics,Hannes Alfvén
1967,Physics,88
1930,Chemistry,Hans Fischer
1989,Physics,Hans G. Dehmelt
1953,Physiology or Medicine,Hans Krebs
1935,Physiology or Medicine,Hans Spemann
1929,Chemistry,Hans von Euler-Chelpin
2008,Physiology or Medicine,Harald zur Hausen
1934,Chemistry,Harold C. Urey
1989,Physiology or Medicine,Harold E. Varmus
2005,Literature,Harold Pinter
1990,Economic Sciences,Harry M. Markowitz
1974,Literature,Harry Martinson
1988,Chemistry,Hartmut Michel
1913,Physics,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1913
1972,Literature,Heinrich Böll
1986,Physics,Heinrich Rohrer
1927,Chemistry,Heinrich Wieland
1902,Physics,Hendrik A. Lorentz
1903,Physics,Henri Becquerel
1927,Literature,Henri Bergson
1913,Peace,Henri La Fontaine
1906,Chemistry,165
1943,Physiology or Medicine,Henrik Dam
1917,Literature,Henrik Pontoppidan
1901,Peace,Henry Dunant
1973,Peace,Henry Kissinger
1983,Chemistry,260
1990,Physics,139
1905,Literature,Henryk Sienkiewicz
1985,Chemistry,Herbert A. Hauptman
1979,Chemistry,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1979
2000,Physics,Herbert Kroemer
1944,Physiology or Medicine,Herbert S. Gasser
1978,Economic Sciences,Herbert Simon
1946,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1946
1946,Physiology or Medicine,Hermann J. Muller
1953,Chemistry,Hermann Staudinger
2009,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2009
2000,Chemistry,Hideki Shirakawa
1949,Physics,Hideki Yukawa
2014,Physics,Hiroshi Amano
1921,Peace,Hjalmar Branting
1998,Physics,Horst L. Störmer
1975,Physiology or Medicine,Howard M. Temin
1955,Physiology or Medicine,Hugo Theorell
1958,Physics,Igor Y. Tamm
1958,Physics,Il´ja M. Frank
1908,Physiology or Medicine,Ilya Mechnikov
1977,Chemistry,250
2002,Literature,Imre Kertész
1904,Peace,Institute of International Law
2007,Peace,818
2005,Peace,International Atomic Energy Agency
2017,Peace,International Campaign to Abolish Nuclear Weapons (ICAN)
1997,Peace,International Campaign to Ban Landmines
1917,Peace,International Committee of the Red Cross
1969,Peace,International Labour Organization
1985,Peace,International Physicians for the Prevention of Nuclear War
1935,Chemistry,Irène Joliot-Curie
1932,Chemistry,Irving Langmuir
2004,Chemistry,Irwin Rose
1978,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1978
2014,Physics,Isamu Akasaki
1944,Physics,Isidor Isaac Rabi
1933,Literature,Ivan Bunin
1904,Physiology or Medicine,296
1973,Physics,98
1961,Literature,Ivo Andric
1987,Physics,J. Georg Bednorz
1963,Physics,J. Hans D. Jensen
2003,Literature,J. M. Coetzee
1989,Physiology or Medicine,J. Michael Bishop
2016,Physics,J. Michael Kosterlitz
2005,Physiology or Medicine,J. Robin Warren
1906,Physics,J.J. Thomson
1922,Literature,Jacinto Benavente
2000,Physics,Jack Kilby
1988,Physics,Jack Steinberger
2009,Physiology or Medicine,Jack W. Szostak
1901,Chemistry,Jacobus H. van 't Hoff
2017,Chemistry,Jacques Dubochet
1965,Physiology or Medicine,Jacques Monod
1996,Economic Sciences,James A. Mirrlees
1946,Chemistry,James B. Sumner
1935,Physics,James Chadwick
1980,Physics,James Cronin
1977,Economic Sciences,James E. Meade
2013,Physiology or Medicine,884
1925,Physics,James Franck
2000,Economic Sciences,James J. Heckman
1986,Economic Sciences,James M. Buchanan Jr.
2018,Physiology or Medicine,James P. Allison
2019,Physics,James Peebles
1975,Physics,James Rainwater
1981,Economic Sciences,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/1981
1962,Physiology or Medicine,James Watson
1969,Economic Sciences,Jan Tinbergen
1931,Peace,Jane Addams
1959,Chemistry,Jaroslav Heyrovsky
1984,Literature,661
1926,Physics,32
1980,Physiology or Medicine,Jean Dausset
2014,Economic Sciences,Jean Tirole
2008,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2008
1987,Chemistry,Jean-Marie Lehn
1964,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1964
2016,Chemistry,Jean-Pierre Sauvage
2017,Physiology or Medicine,Jeffrey C. Hall
1997,Chemistry,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1997
1990,Physics,138
1985,Chemistry,Jerome Karle
2002,Peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2002
2017,Chemistry,Joachim Frank
1997,Peace,Jody Williams
1988,Chemistry,Johann Deisenhofer
1910,Physics,Johannes Diderik van der Waals
1926,Physiology or Medicine,Johannes Fibiger
1919,Physics,Johannes Stark
1944,Literature,614
2002,Chemistry,John B. Fenn
2019,Chemistry,John B. Goodenough
1956,Physics,John Bardeen
1994,Economic Sciences,John C. Harsanyi
1962,Chemistry,John C. Kendrew
2006,Physics,John C. Mather
1986,Chemistry,John C. Polanyi
1951,Physics,John Cockcroft
1975,Chemistry,John Cornforth
2002,Physiology or Medicine,John E. Sulston
1997,Chemistry,John E. Walker
1954,Physiology or Medicine,John F. Enders
1994,Economic Sciences,John F. Nash Jr.
1932,Literature,John Galsworthy
1946,Chemistry,John H. Northrop
1977,Physics,John H. van Vleck
1998,Peace,John Hume
2005,Physics,792
1923,Physiology or Medicine,John Macleod
2014,Physiology or Medicine,John O'Keefe
1998,Chemistry,John Pople
1972,Economic Sciences,John R. Hicks
1946,Peace,John R. Mott
1982,Physiology or Medicine,John R. Vane
1962,Literature,634
1904,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1904
1996,Peace,José Ramos-Horta
1998,Literature,675
1987,Literature,664
1990,Physiology or Medicine,Joseph E. Murray
2001,Economic Sciences,Joseph E. Stiglitz
1944,Physiology or Medicine,Joseph Erlanger
1993,Physics,144
1985,Physiology or Medicine,Joseph L. Goldstein
1995,Peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1995
1958,Physiology or Medicine,Joshua Lederberg
2016,Peace,Juan Manuel Santos
1956,Literature,627
2011,Physiology or Medicine,Jules A. Hoffmann
1919,Physiology or Medicine,Jules Bordet
1965,Physics,85
1970,Physiology or Medicine,396
1927,Physiology or Medicine,Julius Wagner-Jauregg
1987,Physics,K. Alex Müller
1981,Physics,Kai M. Siegbahn
2014,Peace,Kailash Satyarthi
1917,Literature,586
1930,Physiology or Medicine,Karl Landsteiner
1973,Physiology or Medicine,Karl von Frisch
1963,Chemistry,Karl Ziegler
1993,Chemistry,Kary B. Mullis
2017,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2017
1967,Physiology or Medicine,Keffer Hartline
1981,Chemistry,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1981
1982,Physics,Kenneth G. Wilson
1972,Economic Sciences,Kenneth J. Arrow
1994,Literature,671
2000,Peace,725
2017,Physics,Kip S. Thorne
1908,Peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1908
1985,Physics,Klaus von Klitzing
1920,Literature,589
2001,Peace,Kofi Annan
2002,Chemistry,Koichi Tanaka
1964,Physiology or Medicine,Konrad Bloch
1973,Physiology or Medicine,Konrad Lorenz
2010,Physics,Konstantin Novoselov
1950,Chemistry,Kurt Alder
2002,Chemistry,Kurt Wüthrich
1968,Chemistry,236
2013,Economic Sciences,Lars Peter Hansen
1915,Physics,Lawrence Bragg
1980,Economic Sciences,Lawrence R. Klein
1973,Peace,Le Duc Tho 
1963,Peace,League of Red Cross Societies
1983,Peace,Lech Walesa
2001,Physiology or Medicine,Leland Hartwell
1973,Physics,97
1920,Peace,Léon Bourgeois
1951,Peace,Léon Jouhaux
1988,Physics,Leon M. Lederman
1972,Physics,95
2007,Economic Sciences,Leonid Hurwicz
1975,Economic Sciences,Leonid Vitaliyevich Kantorovich
1939,Chemistry,Leopold Ruzicka
1957,Peace,Lester Bowles Pearson
1962,Physics,77
2011,Peace,Leymah Gbowee
2004,Physiology or Medicine,Linda B. Buck
1962,Peace,Linus Pauling
2010,Peace,Liu Xiaobo
2012,Economic Sciences,Lloyd S. Shapley
1949,Peace,510
1904,Physics,Lord Rayleigh
1957,Chemistry,Lord Todd
1929,Physics,Louis de Broglie
1998,Physiology or Medicine,Louis J. Ignarro
1970,Physics,Louis Néel
1907,Peace,Louis Renault
2008,Physiology or Medicine,Luc Montagnier
1927,Peace,Ludwig Quidde
1934,Literature,Luigi Pirandello
1968,Physics,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1968
1970,Chemistry,Luis Leloir
2019,Chemistry,M. Stanley Whittingham
1976,Peace,Mairead Corrigan
2008,Physics,Makoto Kobayashi
2014,Peace,Malala Yousafzai
1967,Chemistry,233
1924,Physics,Manne Siegbahn
1963,Physics,Maria Goeppert Mayer
1903,Physics,Marie Curie
1995,Chemistry,282
2007,Physiology or Medicine,Mario R. Capecchi
2010,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2010
1968,Physiology or Medicine,Marshall W. Nirenberg
2008,Chemistry,830
2013,Chemistry,Martin Karplus
1995,Physics,Martin L. Perl
1964,Peace,Martin Luther King Jr.
1994,Physiology or Medicine,Martin Rodbell
1974,Physics,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1974
1999,Physics,Martinus J.G. Veltman
2008,Peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2008
2002,Physics,754
1988,Economic Sciences,Maurice Allais
1911,Literature, sometimes in the guise of a fairy tale
1962,Physiology or Medicine,Maurice Wilkins
1954,Physics,61
1969,Physiology or Medicine,Max Delbrück
1962,Chemistry,Max F. Perutz
1918,Physics,Max Planck
1951,Physiology or Medicine,Max Theiler
1914,Physics,Max von Laue
2014,Physiology or Medicine,May-Britt Moser
1999,Peace,Médecins Sans Frontières
1961,Chemistry,Melvin Calvin
1988,Physics,Melvin Schwartz
1978,Peace,Menachem Begin
1990,Economic Sciences,Merton H. Miller
2019,Economic Sciences,Michael Kremer
2013,Chemistry,Michael Levitt
2017,Physiology or Medicine,Michael Rosbash
1985,Physiology or Medicine,Michael S. Brown
1993,Chemistry,279
2017,Physiology or Medicine,Michael W. Young
2019,Physics,Michel Mayor
1967,Literature,641
1990,Peace,Mikhail Gorbachev
1965,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1965
1976,Economic Sciences,688
2012,Literature,880
2005,Peace,Mohamed ElBaradei
1979,Peace,Mother Teresa 
2006,Peace,Muhammad Yunus
1969,Physics,Murray Gell-Mann
1997,Economic Sciences,Myron Scholes
2018,Peace,Nadia Murad
1991,Literature,Nadine Gordimer
1988,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1988
1938,Peace,Nansen International Office for Refugees
1930,Peace,Nathan Söderblom
2015,Peace,National Dialogue Quartet 
1966,Literature,640
1993,Peace,555
1931,Peace,Nicholas Murray Butler
1981,Physics,Nicolaas Bloembergen
1964,Physics,82
1922,Physics,Niels Bohr
1984,Physiology or Medicine,Niels K. Jerne
1903,Physiology or Medicine,
1973,Physiology or Medicine,Nikolaas Tinbergen
1956,Chemistry,Nikolay Semenov
1970,Peace,Norman Borlaug
1989,Physics,Norman F. Ramsey
1937,Chemistry,Norman Haworth
1990,Literature,667
1969,Chemistry,Odd Hassel
1979,Literature,
1954,Peace,Office of the United Nations High Commissioner for Refugees
2018,Literature,Olga Tokarczuk
2009,Economic Sciences,847
2016,Economic Sciences,Oliver Hart
2007,Physiology or Medicine,Oliver Smithies
2013,Peace,Organisation for the Prohibition of Chemical Weapons
2006,Literature,Orhan Pamuk
2008,Chemistry,829
1987,Peace,Oscar Arias Sánchez
1950,Chemistry,Otto Diels
1944,Chemistry,Otto Hahn
1936,Physiology or Medicine,Otto Loewi
1922,Physiology or Medicine,Otto Meyerhof
1943,Physics,Otto Stern
1910,Chemistry,Otto Wallach
1931,Physiology or Medicine,Otto Warburg
1959,Physics,Owen Chamberlain
1928,Physics,Owen Willans Richardson
1971,Literature,Pablo Neruda
1951,Literature,Pär Lagerkvist
1948,Physics,53
2014,Literature,
uncovered the life-world of the occupation",,Paris
1973,Literature,Patrick White
1970,Economic Sciences,Paul A. Samuelson
1933,Physics,Paul A.M. Dirac
1980,Chemistry,254
2003,Physiology or Medicine,Paul C. Lauterbur
1997,Chemistry,Paul D. Boyer
1908,Physiology or Medicine,Paul Ehrlich
2000,Physiology or Medicine,Paul Greengard
1909,Peace,Paul Henri d'Estournelles de Constant
1910,Literature, novelist and writer of world-renowned short stories"
1995,Chemistry,281
1974,Chemistry,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1974
1937,Chemistry,197
2008,Economic Sciences,Paul Krugman
2018,Economic Sciences,Paul M. Romer
2015,Chemistry,Paul Modrich
1948,Physiology or Medicine,Paul Müller
1912,Chemistry,Paul Sabatier
1958,Physics,Pavel A. Cherenkov
1938,Literature,Pearl Buck
1946,Physics,51
1910,Peace,477
2010,Economic Sciences,Peter A. Diamond
2003,Chemistry,Peter Agre
1996,Physiology or Medicine,Peter C. Doherty
1936,Chemistry,Peter Debye
2007,Physics,Peter Grünberg
2019,Literature,Peter Handke
2013,Physics,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2013
1960,Physiology or Medicine,Peter Medawar
1978,Chemistry,Peter Mitchell
1966,Physiology or Medicine,Peyton Rous
1959,Peace,Philip Noel-Baker
1950,Physiology or Medicine,351
1977,Physics,Philip W. Anderson
1905,Physics,Philipp Lenard
1993,Physiology or Medicine,Phillip A. Sharp
1903,Physics,Pierre Curie
1991,Physics,141
1902,Physics,Pieter Zeeman
1955,Physics,Polykarp Kusch
1995,Peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1995
1978,Physics,Pyotr Kapitsa
1913,Literature, he has made his poetic thought
1969,Economic Sciences,Ragnar Frisch
1967,Physiology or Medicine,Ragnar Granit
2017,Physics,Rainer Weiss
1950,Peace,Ralph Bunche
2011,Physiology or Medicine,Ralph M. Steinman
1903,Peace,Randal Cremer
2013,Physiology or Medicine,885
2002,Physics,753
1994,Economic Sciences,Reinhard Selten
1975,Physiology or Medicine,Renato Dulbecco
1968,Peace,René Cassin
2002,Physics,755
2004,Physiology or Medicine,Richard Axel
1996,Chemistry,Richard E. Smalley
1990,Physics,140
2010,Chemistry,Richard F. Heck
2017,Economic Sciences,Richard H. Thaler
2017,Chemistry,Richard Henderson
1993,Physiology or Medicine,Richard J. Roberts
1938,Chemistry,Richard Kuhn
1952,Chemistry,Richard L.M. Synge
1965,Physics,86
1991,Chemistry,Richard R. Ernst
2005,Chemistry,Richard R. Schrock
1984,Economic Sciences,Richard Stone
1915,Chemistry,176
1925,Chemistry,182
1992,Peace,Rigoberta Menchú Tum
1986,Physiology or Medicine,Rita Levi-Montalcini
1981,Chemistry,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1981
1923,Physics,Robert A. Millikan
1998,Physics,Robert B. Laughlin
1965,Chemistry,Robert B. Woodward
1914,Physiology or Medicine,Robert Bárány
1997,Economic Sciences,Robert C. Merton
1996,Physics,Robert C. Richardson
1937,Peace,502
1995,Economic Sciences,714
1996,Chemistry,Robert F. Curl Jr.
2003,Economic Sciences,Robert F. Engle III
